,show_id,type,title,director,country/region,date_added,release_year,rating,duration1,duration,listed_in1,listed_in,description
1674,80098046,TV Show,12 Years Promise,,South Korea,2017,2014,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
1675,80091779,TV Show,Beating Again,,South Korea,2017,2015,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"After enduring both business and family upheavals, a ruthless investment director has a heart transplant and finds a new way to look at life and love."
1676,80091783,TV Show,Can We Get Married?,,South Korea,2017,2012,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"On the cusp of marriage or divorce, four couples consider the meaning of love, sharing a life, meddling families and the weight of their commitment."
1678,80098047,TV Show,Last,,South Korea,2017,2015,TV-14,1 Season,1,"Crime TV Shows, International TV Shows, Korean TV Shows",Crime TV Shows,"When his big stock plan fails, a hotshot fund manager winds up homeless and must learn the secret ranking system of the street in order to survive."
1679,80091781,TV Show,Secret Affair,,South Korea,2017,2014,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"A married middle-aged woman is swept off her feet, both romantically and artistically, by a gifted young pianist."
1680,80091778,TV Show,This Is My Love,,South Korea,2017,2015,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"A renowned actor who is still pining over the loss of his first real love writes an autobiography about his memories of her, hoping to reconnect."
1681,70212980,TV Show,The Super Mario Bros. Super Show!,,"United States, Canada",2016,1989,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"Mixing live action and animation, this classic series brought the beloved Super Mario Bros. video game characters to television screens everywhere."
1687,81076042,TV Show,American Experience: The Circus,Sharon Grimberg,United States,2019,2018,TV-PG,1 Season,1,Docuseries,Docuseries,"An exploration of the American circus, as the spectacle evolved from a one-ring show to a cultural event and eventually, a dying breed."
1693,80244271,TV Show,Revenge,,,2019,2017,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"After a mother and her daughter are gang-raped by seven men, the daughter suffers a mental breakdown, and the single mom sets out to get revenge."
1700,80121973,TV Show,Behzat _.,,Turkey,2017,2010,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,An Ankara homicide detective with a dark personal life and a disdain for rules and political correctness solves murders and fights police corruption.
1702,80176819,TV Show,Hidden Singer,,South Korea,2017,2015,TV-Y7,1 Season,1,"International TV Shows, Korean TV Shows, Reality TV",International TV Shows,Pop stars and impersonators face off to be the last one standing as the audience tries to determine the real singer by listening to their voices only.
1703,80173481,TV Show,Highland: Thailand's Marijuana Awakening,,Thailand,2017,2017,TV-MA,1 Season,1,"Docuseries, International TV Shows",Docuseries,"Thailand's complicated history with marijuana continues to play a role in its policies and laws, as well as the health and security of its citizens."
1705,80122179,TV Show,The Keepers,,United States,2017,2017,TV-MA,1 Season,1,"Crime TV Shows, Docuseries, TV Mysteries",Crime TV Shows,This docuseries examines the decades-old murder of Sister Catherine Cesnik and its suspected link to a priest accused of abuse.
1710,80996626,TV Show,Dance & Sing with True,,,2018,2018,TV-Y,1 Season,1,Kids' TV,Kids' TV,"True and her friends are making music _ and they want you to dance and sing along. So cut loose, silly goose! These fun beats are totally sweet."
1711,80047200,TV Show,El Clon,,United States,2017,2010,TV-14,1 Season,1,"Romantic TV Shows, Spanish-Language TV Shows, TV Dramas",Romantic TV Shows,"Religion thwarted Lucas and Jade's young love. They reunite decades later, but Jade's heart is torn between the man she knew and his younger clone."
1712,80991872,TV Show,1994,Diego Enrique Osorno,Mexico,2019,2019,TV-MA,1 Season,1,"Crime TV Shows, Docuseries, International TV Shows",Crime TV Shows,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio."
1717,80999455,TV Show,It's Bruno!,,United States,2019,2019,TV-MA,1 Season,1,TV Comedies,TV Comedies,"An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno _ and making sure the neighbors show his pooch the proper respect."
1722,81092192,TV Show,Well-Intended Love,,China,2019,2019,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows,"To secure a bone marrow donation, an actress diagnosed with leukemia makes a marriage pact with a young CEO _ but love and secrets get in the way."
1745,81112772,TV Show,Dennis and Gnasher Unleashed,,United Kingdom,2019,2017,TV-Y7,1 Season,1,"British TV Shows, Kids' TV, TV Comedies",British TV Shows,"Fearless Dennis, his loyal dog Gnasher and best friends Rubi, JJ and Pieface quench their thirst for adventure by wreaking havoc all over Beanotown."
1748,81037237,TV Show,"Heidi, bienvenida a casa",,Argentina,2019,2017,TV-G,1 Season,1,"Kids' TV, Spanish-Language TV Shows",Kids' TV,"Inspired by the classic novel, this telenovela follows Heidi, who leaves her happy life in the mountains behind when her aunt takes her to the big city."
1749,81087124,TV Show,I Hear You,,,2019,2019,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,"Love blooms between a bubbly, aspiring voice actress and a cool, enigmatic violin-maker after they cross paths on a reality TV show."
1760,70273371,TV Show,Saint Seiya: The Lost Canvas,,Japan,2018,2009,TV-14,1 Season,1,"Anime Series, International TV Shows",Anime Series,This anime adventure follows the battle between a saint of Athena and an avatar of Hades who's working on a painting that could destroy the world.
1762,80122237,TV Show,Classic Legends,,India,2017,2012,TV-PG,1 Season,1,"Docuseries, International TV Shows",Docuseries,This documentary series explores the glamour of Bollywood through the stories of the men and women who have illuminated its screens.
1768,80047031,TV Show,Sin senos no hay para_­so,,"Colombia, Mexico, United States",2017,2008,TV-14,1 Season,1,"International TV Shows, Spanish-Language TV Shows, TV Dramas",International TV Shows,"Inspired by a true story, this TV drama shadows a young Colombian woman who goes to shocking lengths to escape a life of poverty."
1775,80992787,TV Show,Revisions,,Japan,2019,2018,TV-14,1 Season,1,"Anime Series, International TV Shows",Anime Series,"When Shibuya time-warps to 2388, high schooler Daisuke and his friends are conscripted by AHRV agent Milo to fight the hostile cyborg race, revisions."
1778,80097726,TV Show,The Hunt,,United Kingdom,2017,2015,TV-PG,1 Season,1,"British TV Shows, Docuseries, Science & Nature TV",British TV Shows,"Witness some of the most riveting showdowns in the animal kingdom as cameras capture leopards, polar bears and other predators targeting their prey."
1784,81098013,TV Show,The Defected,,"China, Hong Kong",2019,2019,TV-MA,1 Season,1,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows,"After surviving a near-fatal injury on the job, a cop sets out to investigate a conspiracy involving the top brass of the police department."
1786,80174364,TV Show,All Hail King Julien: Exiled,,United States,2017,2017,TV-Y7-FV,1 Season,1,"Kids' TV, TV Action & Adventure, TV Comedies",Kids' TV,"Julien's been dethroned, but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom."
1793,70287630,TV Show,The Jungle Book,,"India, Germany, France",2019,2010,TV-Y7,1 Season,1,Kids' TV,Kids' TV,"This animated series follows young Mowgli and his animal mentors Bagheera and Baloo, who do their best to protect him from fierce tiger Shere Khan."
1795,80158319,TV Show,Evil Genius,"Trey Borzillieri, Barbara Schroeder",United States,2018,2018,TV-MA,1 Season,1,"Crime TV Shows, Docuseries, TV Mysteries",Crime TV Shows,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck _ and gets weirder from there.
1797,80184379,TV Show,The Who Was? Show,,United States,2018,2018,TV-Y7,1 Season,1,"Kids' TV, TV Comedies",Kids' TV,Fresh voices bring some of the most famous names in history to life. A live-action sketch comedy show based on the series of best-selling books.
1803,80216756,TV Show,Jailbirds,,,2019,2019,TV-MA,1 Season,1,Reality TV,Reality TV,"At the Sacramento County Jail, incarcerated women fight the power and one another as they try to make the best of life _ and love _ on the inside."
1804,80241986,TV Show,Pose,,United States,2019,2018,TV-MA,1 Season,1,TV Dramas,TV Dramas,"In 1987 New York, LGBTQ ball fixture Blanca starts her own house, soon becoming mother to a gifted dancer and a sex worker in love with a yuppie client."
1805,80987113,TV Show,The Princess Weiyoung,,China,2019,2016,TV-14,1 Season,1,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows,A princess descended from a ruined noble family disguises herself as the woman who saved her life and embarks on a mission to avenge her loved ones.
1806,80197989,TV Show,The Society,,United States,2019,2019,TV-MA,1 Season,1,"TV Dramas, Teen TV Shows",TV Dramas,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive."
1827,81062075,TV Show,"Roswell, New Mexico",,United States,2019,2019,TV-14,1 Season,1,"Classic & Cult TV, TV Dramas, TV Sci-Fi & Fantasy",Classic & Cult TV,"After 10 years, a woman returns to her sleepy tourist-occupied hometown and discovers her high-school crush is also an unusual foreigner."
1832,80156137,TV Show,The Kindness Diaries,,,2019,2019,TV-G,1 Season,1,Reality TV,Reality TV,"Host Leon Logothetis travels the world with only a vintage motorbike and the kindness of strangers, which he pays back in unexpected, inspiring ways."
1838,80229034,TV Show,Anjaan: Special Crimes Unit,,India,2018,2018,TV-14,1 Season,1,"International TV Shows, TV Horror, TV Mysteries",International TV Shows,"The cases are supernatural; the police officers human. Together, cops Aditi and Vikrant must solve mysteries from the realm of the paranormal."
1839,70213130,TV Show,Boys Over Flowers,,South Korea,2018,2009,TV-14,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,Unassuming high school girl Jan-di stands up to _ and eventually falls for _ a spoiled rich kid who belongs to the school's most powerful clique.
1847,80081705,TV Show,Iris,,South Korea,2018,2009,TV-MA,1 Season,1,"International TV Shows, Korean TV Shows, TV Action & Adventure",International TV Shows,Two friends' lives are changed forever when they are recruited by a top-secret organization tasked with protecting the country from foreign threats.
1850,80229102,TV Show,Khan: No. 1 Crime Hunter,,India,2018,2018,TV-14,1 Season,1,"Crime TV Shows, International TV Shows, TV Comedies",Crime TV Shows,"From fake marriages to online shopping fraud, a whip-smart police officer investigates truly baffling cons that were inspired by true stories."
1853,80066146,TV Show,Love Rain,,South Korea,2018,2012,TV-PG,1 Season,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows,"A story of two couples' journey of new love, loss and unexpected reunion spans decades, from the 1970s through present day."
1854,80229286,TV Show,Mere Papa Hero Hiralal,,,2018,2018,TV-14,1 Season,1,"International TV Shows, TV Dramas",International TV Shows,"A simple auto-rickshaw driver on the streets of Lucknow, Hiralal Tiwari does everything he can to give his gravely ill daughter a happy life."
1864,80229190,TV Show,Queens of Comedy,,,2018,2017,TV-MA,1 Season,1,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",International TV Shows,Eight women perform in front of celebrity judges and compete for the title of India__ top female stand-up comedian.
